Got telemetry 184,0.00,27.00,99856.15,95.98,19.00,0.00,0.00,,,,,
255/643,0.00,27.00,99894.95,92.71,19.00,0.00,0.00,,,,,Got telemetry 643,0.00,27.00,99894.95,92.71,19.00,0.00,0.00,,,,,
255/644,0.00,27.00,99899.34,92.34,19.00,0.00,0.00,,,,,Got telemetry 644,0.00,27.00,99899.34,92.34,19.00,0.00,0.00,,,,,
255/645,0.00,27.00,99892.39,92.93,19.00,0.00,0.00,,,,,Got telemetry 645,0.00,27.00,99892.39,92.93,19.00,0.00,0.00,,,,,
255/646,0.00,27.00,99892.02,92.96,19.00,0.00,0.00,,,,,Got telemetry 646,0.00,27.00,99892.02,92.96,19.00,0.00,0.00,,,,,
255/647,0.00,26.00,99610.95,116.67,22.00,0.00,0.00,,,,,Got telemetry 647,0.00,26.00,99610.95,116.67,22.00,0.00,0.00,,,,,
255/648,0.00,26.00,99610.95,116.67,22.00,0.00,0.00,,,,,Got telemetry 648,0.00,26.00,99610.95,116.67,22.00,0.00,0.00,,,,,
255/649,0.00,27.00,99888.73,93.23,37.00,0.00,0.00,,,,,Got telemetry 649,0.00,27.00,99888.73,93.23,37.00,0.00,0.00,,,,,
255/650,0.00,27.00,99891.30,93.02,37.00,0.00,0.00,,,,,Got telemetry 650,0.00,27.00,99891.30,93.02,37.00,0.00,0.00,,,,,
255/651,0.00,28.00,100176.83,68.98,28.00,0.00,0.00,,,,,Got telemetry 651,0.00,28.00,100176.83,68.98,28.00,0.00,0.00,,,,,
255/652,0.00,28.00,100181.60,68.58,28.00,0.00,0.00,,,,,Got telemetry 652,0.00,28.00,100181.60,68.58,28.00,0.00,0.00,,,,,
255/653,0.00,26.00,99625.93,115.40,23.00,0.00,0.00,,,,,Got telemetry 653,0.00,26.00,99625.93,115.40,23.00,0.00,0.00,,,,,
255/654,0.00,26.00,99626.66,115.34,23.00,0.00,0.00,,,,,Got telemetry 654,0.00,26.00,99626.66,115.34,23.00,0.00,0.00,,,,,
255/655,0.00,26.00,99622.63,115.68,24.00,0.00,0.00,,,,,Got telemetry 655,0.00,26.00,99622.63,115.68,24.00,0.00,0.00,,,,,
255/656,0.00,26.00,99623.01,115.65,24.00,0.00,0.00,40.36,49.97,13960,300818,17495000Got telemetry 656,0.00,26.00,99623.01,115.65,24.00,0.00,0.00,40.36,49.97,13960,300818,17495000
255/657,0.00,26.00,99621.55,115.77,29.00,0.00,0.00,,,,,Got telemetry 657,0.00,26.00,99621.55,115.77,29.00,0.00,0.00,,,,,
255/658,0.00,26.00,99617.16,116.15,29.00,0.00,0.00,,,,,Got telemetry 658,0.00,26.00,99617.16,116.15,29.00,0.00,0.00,,,,,
255/659,0.00,26.00,99618.98,115.99,20.00,0.00,0.00,,,,,Got telemetry 659,0.00,26.00,99618.98,115.99,20.00,0.00,0.00,,,,,
255/660,0.00,26.00,99619.35,115.96,20.00,0.00,0.00,,,,,Got telemetry 660,0.00,26.00,99619.35,115.96,20.00,0.00,0.00,,,,,
255/661,0.00,26.00,99611.31,116.64,20.00,0.00,0.00,,,,,Got telemetry 661,0.00,26.00,99611.31,116.64,20.00,0.00,0.00,,,,,
255/662,0.00,26.00,99608.39,116.89,20.00,0.00,0.00,,,,,Got telemetry 662,0.00,26.00,99608.39,116.89,20.00,0.00,0.00,,,,,
255/663,0.00,26.00,99614.23,116.39,20.00,0.00,0.00,40.36,49.97,13960,300818,17495800Got telemetry 663,0.00,26.00,99614.23,116.39,20.00,0.00,0.00,40.36,49.97,13960,300818,17495800
255/664,0.00,26.00,99607.66,116.95,20.00,0.00,0.00,40.36,49.97,13960,300818,17495900Got telemetry 664,0.00,26.00,99607.66,116.95,20.00,0.00,0.00,40.36,49.97,13960,300818,17495900
